seasonID,leagueID,championID,year,startDate,endDate
1,1,80,2014,2014-08-16,2015-05-24
2,1,75,2015,2015-08-08,2016-05-17
3,1,80,2016,2016-08-13,2017-05-21
4,1,88,2017,2017-08-11,2018-05-13
5,1,88,2018,2018-08-10,2019-05-12
6,1,87,2019,2019-08-09,2020-07-26
7,1,88,2020,2020-09-12,2021-05-23
8,2,98,2014,2014-08-30,2015-05-31
9,2,98,2015,2015-08-22,2016-05-15
10,2,98,2016,2016-08-20,2017-05-28
11,2,98,2017,2017-08-19,2018-05-20
12,2,98,2018,2018-08-18,2019-05-26
13,2,98,2019,2019-08-24,2020-08-02
14,2,106,2020,2020-09-19,2021-05-23
15,3,117,2014,2014-08-22,2015-05-23
16,3,117,2015,2015-08-14,2016-05-14
17,3,117,2016,2016-08-26,2017-05-20
18,3,117,2017,2017-08-18,2018-05-12
19,3,117,2018,2018-08-24,2019-05-18
20,3,117,2019,2019-08-16,2020-06-27
21,3,117,2020,2020-09-18,2021-05-22
22,4,148,2014,2014-08-24,2015-05-24
23,4,148,2015,2015-08-21,2016-05-15
24,4,150,2016,2016-08-20,2017-05-21
25,4,148,2017,2017-08-18,2018-05-20
26,4,148,2018,2018-08-17,2019-05-19
27,4,150,2019,2019-08-16,2020-07-19
28,4,143,2020,2020-09-12,2021-05-23
29,5,161,2014,2014-08-08,2015-05-23
30,5,161,2015,2015-08-07,2016-05-14
31,5,171,2016,2016-08-12,2017-05-20
32,5,161,2017,2017-08-04,2018-05-19
33,5,161,2018,2018-08-10,2019-05-24
34,5,161,2019,2019-08-09,2020-04-28
35,5,160,2020,2020-08-21,2021-05-23
