teamID,venueID,teamName
71,8,Aston Villa
72,46,Everton
74,123,Southampton
75,74,Leicester
76,143,West Bromwich Albion
77,129,Sunderland
78,37,Crystal Palace
80,33,Chelsea
81,144,West Ham
82,132,Tottenham
83,7,Arsenal
84,130,Swansea
85,127,Stoke
86,94,Newcastle United
87,78,Liverpool
88,84,Manchester City
89,85,Manchester United
91,65,Hull
92,25,Burnley
202,105,Queens Park Rangers
73,21,Bournemouth
79,97,Norwich
90,141,Watford
93,88,Middlesbrough
219,64,Huddersfield
220,24,Brighton
227,29,Cardiff
228,53,Fulham
229,146,Wolverhampton Wanderers
238,122,Sheffield United
245,72,Leeds
137,82,Malaga
138,121,Sevilla
139,39,Deportivo La Coruna
140,110,Real Sociedad
141,45,Espanyol
142,55,Getafe
143,11,Atletico Madrid
145,107,Rayo Vallecano
146,137,Valencia
147,10,Athletic Club
148,13,Barcelona
150,109,Real Madrid
151,76,Levante
152,31,Celta Vigo
154,140,Villarreal
155,58,Granada
156,41,Eibar
206,35,Cordoba
207,43,Elche
208,3,Almeria
144,69,Las Palmas
149,126,Sporting Gijon
153,108,Real Betis
157,99,Osasuna
158,2,Alaves
159,73,Leganes
223,57,Girona
231,111,Real Valladolid
232,120,SD Huesca
239,83,Mallorca
261,26,Cadiz
117,15,Bayern Munich
118,60,Hamburger SV
119,14,Bayer Leverkusen
120,63,Hoffenheim
121,12,Augsburg
122,62,Hertha Berlin
123,142,Werder Bremen
124,119,Schalke 04
125,81,Mainz 05
128,61,Hannover 96
129,19,Borussia Dortmund
130,20,Borussia M.Gladbach
131,145,Wolfsburg
132,42,Eintracht Frankfurt
133,139,VfB Stuttgart
134,48,FC Cologne
135,51,Freiburg
205,100,Paderborn
126,66,Ingolstadt
127,38,Darmstadt
136,106,RasenBallsport Leipzig
233,50,Fortuna Duesseldorf
234,98,Nuernberg
240,136,Union Berlin
262,6,Arminia Bielefeld
94,138,Verona
95,114,Roma
96,70,Lazio
98,68,Juventus
99,135,Udinese
100,101,Palermo
101,54,Genoa
102,116,Sampdoria
104,117,Sassuolo
105,93,Napoli
106,67,Inter
107,9,Atalanta
108,44,Empoli
109,34,Chievo
110,49,Fiorentina
111,1,AC Milan
113,131,Torino
116,28,Cagliari
203,32,Cesena
97,17,Bologna
103,30,Carpi
112,52,Frosinone
114,104,Pescara
115,36,Crotone
221,124,SPAL 2013
222,16,Benevento
230,103,Parma Calcio 1913
242,22,Brescia
243,71,Lecce
260,125,Spezia
160,77,Lille
161,102,Paris Saint Germain
162,118,SC Bastia
163,113,Rennes
164,86,Marseille
165,27,Caen
166,90,Montpellier
168,92,Nantes
169,59,Guingamp
170,95,Nice
171,89,Monaco
174,133,Toulouse
175,115,Saint-Etienne
176,18,Bordeaux
177,112,Reims
178,80,Lyon
179,79,Lorient
180,87,Metz
209,47,Evian Thonon Gaillard
210,75,Lens
167,5,Angers
172,134,Troyes
173,56,GFC Ajaccio
181,40,Dijon
182,91,Nancy
224,4,Amiens
225,128,Strasbourg
235,96,Nimes
241,23,Brest
